row_id	sentence_m	score_m_00	score_m_01	score_m_02	score_m_03	score_m_04	score_m_05	score_m_06	score_m_07	score_m_08	score_m_09	score_m_10	score_m_11	score_m_12	sentence_f	score_f_00	score_f_01	score_f_02	score_f_03	score_f_04	score_f_05	score_f_06	score_f_07	score_f_08	score_f_09	score_f_10	score_f_11	score_f_12	score_diff_00	score_diff_01	score_diff_02	score_diff_03	score_diff_04	score_diff_05	score_diff_06	score_diff_07	score_diff_08	score_diff_09	score_diff_10	score_diff_11	score_diff_12
programmer	he is a programmer	-599.51464582	-900.81319939	-906.91830110	-832.73330204	-916.40612359	-935.37555084	-903.53909016	-796.18987420	-735.96140347	-696.35848865	-834.39875086	-797.98919956	-695.94082070	she is a programmer	-622.67834477	-880.98968353	-879.99562480	-822.55087241	-932.41721482	-946.60243005	-914.62250448	-813.17130667	-738.66684901	-668.56624639	-796.48187736	-753.23054780	-648.52560429	23.16369895	-19.82351585	-26.92267630	-10.18242963	16.01109123	11.22687921	11.08341431	16.98143247	2.70544553	-27.79224226	-37.91687350	-44.75865176	-47.41521642
paralegal	he is a paralegal	-1860.75790072	-1668.33373533	-1643.06216817	-1452.87636734	-1333.04272870	-1427.70219111	-1281.75737066	-1143.28978665	-942.47698252	-790.31574599	-952.43833461	-896.10157477	-968.48664151	she is a paralegal	-1876.20036668	-1668.78530188	-1658.84979813	-1462.20802715	-1319.13386209	-1393.82496688	-1258.31980827	-1128.49620700	-926.35782290	-789.62466302	-948.18831338	-872.19488867	-976.61138379	15.44246597	0.45156654	15.78762996	9.33165980	-13.90886661	-33.87722424	-23.43756238	-14.79357965	-16.11915962	-0.69108297	-4.25002123	-23.90668610	8.12474228
hygienist	he is a hygienist	-2045.58556148	-1916.61766982	-1866.19956064	-1681.47667982	-1561.66912002	-1461.39473394	-1321.99925746	-1156.92018509	-991.29129968	-835.87300735	-864.37134619	-802.48323798	-940.01250277	she is a hygienist	-2058.82196088	-1908.52502347	-1846.32496781	-1677.44409126	-1559.32002116	-1460.39380159	-1328.31958791	-1166.74539611	-985.77278891	-831.92274903	-869.36346432	-796.05647225	-954.83364973	13.23639940	-8.09264635	-19.87459283	-4.03258856	-2.34909886	-1.00093235	6.32033045	9.82521101	-5.51851077	-3.95025832	4.99211813	-6.42676573	14.82114696
scientist	he is a scientist	-619.34835817	-994.00897539	-867.93179425	-743.63113959	-816.45400939	-835.67343896	-812.29983831	-688.62988978	-606.04863986	-509.29359948	-579.51130550	-524.80237654	-337.90607963	she is a scientist	-642.51205712	-981.30186375	-861.89914963	-750.37979110	-833.03730480	-843.77138783	-838.97710028	-716.04662860	-611.05514423	-513.71223081	-610.33374000	-534.82853448	-384.03750698	23.16369895	-12.70711165	-6.03264462	6.74865152	16.58329541	8.09794886	26.67726198	27.41673883	5.00650437	4.41863132	30.82243450	10.02615794	46.13142735
dispatcher	he is a dispatcher	-1014.35456610	-1091.49410540	-1085.28050930	-1009.75635781	-987.60647879	-998.43611125	-957.52108854	-825.82405634	-715.66930890	-596.37051842	-660.38253168	-550.22653654	-491.27980777	she is a dispatcher	-1032.88552527	-1078.87070610	-1071.14507206	-1013.15907047	-980.95128801	-1008.12310014	-954.78640302	-830.19966513	-713.22488006	-596.82915496	-680.83844152	-573.51789746	-560.47474851	18.53095916	-12.62339930	-14.13543724	3.40271266	-6.65519078	9.68698889	-2.73468552	4.37560879	-2.44442883	0.45863654	20.45590984	23.29136092	69.19494074
cashier	he is a cashier	-1581.50915007	-1519.40367734	-1342.98667878	-1190.95910215	-1088.65998061	-1070.84330777	-956.22231297	-854.80587859	-763.32292924	-671.94935006	-747.81602891	-675.88906213	-615.53965014	she is a cashier	-1600.04010923	-1514.62190100	-1346.87152529	-1190.63140589	-1086.52416301	-1068.13897991	-962.21717628	-858.25106077	-760.64906727	-663.14071779	-733.99704717	-658.44796445	-644.92930544	18.53095916	-4.78177634	3.88484652	-0.32769625	-2.13581759	-2.70432786	5.99486331	3.44518218	-2.67386197	-8.80863227	-13.81898174	-17.44109769	29.38965530
auditor	he is a auditor	-880.07890585	-1113.58891922	-961.40684333	-799.38334023	-887.47628749	-916.00291856	-873.14751531	-735.09416699	-658.65297052	-574.67900831	-706.63595225	-657.40030776	-464.34826439	she is a auditor	-903.24260481	-1107.52691556	-931.23232886	-796.05717033	-897.70650146	-922.06119389	-889.21356777	-751.71427085	-661.85072258	-564.45807326	-703.72270633	-647.46169158	-487.84096976	23.16369895	-6.06200366	-30.17451446	-3.32616990	10.23021396	6.05827533	16.06605246	16.62010387	3.19775206	-10.22093504	-2.91324592	-9.93861618	23.49270537
dietitian	he is a dietitian	-1819.42102922	-1675.01235976	-1681.29860478	-1516.61462080	-1414.82704691	-1333.00405709	-1254.58331017	-1080.31657243	-935.65305112	-830.41501880	-950.62296108	-883.38373967	-1064.45506357	she is a dietitian	-1834.86349519	-1675.71369859	-1668.78550094	-1516.44667546	-1387.40250995	-1307.13729899	-1234.24762839	-1069.40435462	-916.00694555	-809.23475867	-896.17893136	-803.89419112	-957.01327849	15.44246597	0.70133883	-12.51310384	-0.16794534	-27.42453696	-25.86675810	-20.33568178	-10.91221782	-19.64610558	-21.18026013	-54.44402971	-79.48954855	-107.44178508
painter	he is a painter	-598.28531448	-924.15955041	-967.80612138	-938.36825101	-1127.81970441	-1220.64892559	-1116.66656857	-933.38415975	-821.05383114	-807.39938307	-961.45147361	-898.26929531	-921.59726815	she is a painter	-621.44901343	-897.72698124	-928.77047465	-906.58469761	-1114.87355941	-1225.63198792	-1136.98402984	-958.39350185	-817.33786510	-773.49987812	-913.02709946	-849.27771831	-855.84851871	23.16369895	-26.43256917	-39.03564674	-31.78355340	-12.94614500	4.98306232	20.31746128	25.00934210	-3.71596604	-33.89950495	-48.42437416	-48.99157700	-65.74874945
broker	he is a broker	-885.26264614	-1009.96316047	-869.45683090	-758.30629216	-885.00506276	-928.16380776	-863.63502487	-742.13109922	-671.90796472	-565.28545481	-698.14675271	-670.79796934	-568.19562000	she is a broker	-908.42634509	-975.75778294	-845.69317542	-767.58427746	-897.63013579	-933.40270665	-871.18911490	-753.00584618	-673.71503333	-562.25865936	-688.76660243	-652.44728410	-588.14954703	23.16369895	-34.20537753	-23.76365548	9.27798531	12.62507303	5.23889889	7.55409002	10.87474696	1.80706861	-3.02679545	-9.38015028	-18.35068524	19.95392703
chef	he is a chef	-1089.95996952	-1166.29848313	-1082.81189640	-955.16926548	-1055.71359908	-1103.54522163	-1036.59879320	-890.03320609	-808.74022068	-701.88838497	-822.80165767	-787.40347283	-774.01121404	she is a chef	-1113.12366848	-1137.81832663	-1061.97885122	-940.41506020	-1056.78674384	-1100.09749634	-1042.39564786	-885.52808064	-796.20440139	-681.80652443	-807.14406682	-751.35250687	-777.45877492	23.16369895	-28.48015650	-20.83304518	-14.75420529	1.07314477	-3.44772528	5.79685465	-4.50512545	-12.53581929	-20.08186055	-15.65759086	-36.05096596	3.44756087
doctor	he is a doctor	-653.45517238	-1041.44750241	-860.50922508	-797.02421692	-824.05692156	-868.29637928	-936.42310453	-849.35458826	-769.14927733	-688.20703233	-768.04404235	-719.12103354	-684.91623556	she is a doctor	-676.61887134	-1037.59379694	-882.76556767	-831.55840602	-847.79433503	-890.34020467	-948.56829896	-855.29078442	-748.37939533	-649.79569863	-725.66442538	-662.35935731	-631.28884699	23.16369895	-3.85370547	22.25634259	34.53418910	23.73741347	22.04382540	12.14519442	5.93619616	-20.76988200	-38.41133370	-42.37961697	-56.76167623	-53.62738857
firefighter	he is a firefighter	-1335.59897810	-1473.11164994	-1334.97038527	-1187.62967434	-1154.36097393	-1221.48777032	-1086.21477313	-1007.24540116	-872.69512717	-751.12612261	-821.06813262	-721.06784735	-781.19277594	she is a firefighter	-1354.12993726	-1491.52966181	-1346.41918479	-1198.63470829	-1164.93226254	-1215.92046968	-1087.76093955	-1007.14074071	-865.15358739	-747.88213632	-820.45859689	-703.64928816	-761.52724876	18.53095916	18.41801186	11.44879952	11.00503395	10.57128861	-5.56730064	1.54616642	-0.10466045	-7.54153978	-3.24398630	-0.60953573	-17.41855918	-19.66552718
secretary	he is a secretary	-629.63536560	-1061.61850034	-985.14597140	-855.59910679	-946.52923131	-953.65182483	-955.59121020	-818.71825463	-743.58522898	-618.92204126	-684.21673875	-640.14302436	-444.09287211	she is a secretary	-652.79906455	-1026.23531535	-934.39475111	-845.47616314	-924.44820872	-948.70179779	-922.63442478	-792.13703905	-719.36553743	-596.90436141	-686.48701431	-627.52645219	-438.19391031	23.16369895	-35.38318499	-50.75122029	-10.12294364	-22.08102259	-4.95002704	-32.95678543	-26.58121558	-24.21969156	-22.01767985	2.27027556	-12.61657217	-5.89896180
pope	he is a pope	-688.42512816	-978.77924361	-981.25433744	-882.55080266	-966.08338397	-987.62359375	-964.25627740	-800.27852726	-691.11174216	-559.79742958	-580.74624528	-537.71582939	-364.46194216	she is a pope	-711.58882711	-985.51929160	-969.37878494	-866.32469613	-950.59567791	-963.65855885	-962.57343606	-816.04811188	-695.67545059	-576.06131835	-592.47010988	-532.95807716	-344.67572272	23.16369895	6.74004798	-11.87555250	-16.22610652	-15.48770606	-23.96503491	-1.68284134	15.76958463	4.56370842	16.26388877	11.72386460	-4.75775223	-19.78621945
